timestamp,open,high,low,close
2018-12-12,0.18171000,0.18500000,0.17750000,0.18500000
2018-12-13,0.18284000,0.19247000,0.18283000,0.19140000
2018-12-14,0.18973000,0.20760000,0.18973000,0.19833000
2018-12-15,0.19397000,0.20181000,0.19082000,0.20142000
2018-12-16,0.19490000,0.21558000,0.19490000,0.20140000
2018-12-17,0.19695000,0.19906000,0.19309000,0.19780000
2018-12-18,0.19780000,0.20505000,0.19120000,0.19791000
2018-12-19,0.19791000,0.20859000,0.19281000,0.19931000
2018-12-20,0.19983000,0.21236000,0.19983000,0.20903000
2018-12-21,0.20998000,0.22603000,0.20770000,0.21372000
2018-12-22,0.22415000,0.25000000,0.21100000,0.21407000
2018-12-23,0.21563000,0.26246000,0.20698000,0.22377000
2018-12-24,0.23711000,0.24728000,0.21716000,0.22515000
2018-12-25,0.21472000,0.22528000,0.20956000,0.22184000
2018-12-26,0.22140000,0.22140000,0.21197000,0.21197000
2018-12-27,0.21698000,0.21704000,0.20104000,0.20711000
2018-12-28,0.20266000,0.22080000,0.19712000,0.20959000
2018-12-29,0.21378000,0.23480000,0.20995000,0.21836000
2018-12-30,0.21538000,0.22447000,0.21368000,0.22235000
2018-12-31,0.22537000,0.22537000,0.19186000,0.20152000
2019-01-01,0.19925000,0.22560000,0.19925000,0.21387000
2019-01-02,0.21092000,0.22303000,0.21089000,0.21636000
2019-01-03,0.21789000,0.22870000,0.21518000,0.21953000
2019-01-04,0.22177000,0.22870000,0.19972000,0.22410000
2019-01-05,0.23165000,0.24041000,0.22060000,0.22399000
2019-01-06,0.22155000,0.22628000,0.21866000,0.22045000
2019-01-07,0.22045000,0.22588000,0.21639000,0.22266000
2019-01-08,0.22266000,0.22266000,0.20263000,0.20742000
2019-01-09,0.20522000,0.21541000,0.19759000,0.20649000
2019-01-10,0.20977000,0.21157000,0.19527000,0.19527000
2019-01-11,0.19484000,0.19925000,0.19100000,0.19609000
2019-01-12,0.19518000,0.19564000,0.18407000,0.18889000
2019-01-13,0.18889000,0.20032000,0.18336000,0.19102000
2019-01-14,0.18817000,0.19489000,0.17909000,0.18389000
2019-01-15,0.18599000,0.18984000,0.18089000,0.18132000
2019-01-16,0.18204000,0.18600000,0.17349000,0.18190000
2019-01-17,0.18619000,0.18970000,0.17765000,0.18009000
2019-01-18,0.18009000,0.18009000,0.17204000,0.17514000
2019-01-19,0.17675000,0.18811000,0.17675000,0.18150000
2019-01-20,0.17980000,0.18810000,0.16573000,0.17177000
2019-01-21,0.17281000,0.17952000,0.16947000,0.16947000
2019-01-22,0.17206000,0.17950000,0.16974000,0.17412000
2019-01-23,0.17412000,0.18320000,0.16996000,0.17053000
2019-01-24,0.17053000,0.17914000,0.16835000,0.17820000
2019-01-25,0.17820000,0.17915000,0.16929000,0.17258000
2019-01-26,0.17188000,0.17328000,0.16539000,0.16655000
2019-01-27,0.16653000,0.16659000,0.15812000,0.15880000
2019-01-28,0.15626000,0.16799000,0.14666000,0.16599000
2019-01-29,0.16598000,0.16982000,0.16100000,0.16689000
2019-01-30,0.16689000,0.17127000,0.16640000,0.16808000
2019-01-31,0.16807000,0.17024000,0.15763000,0.15870000
2019-02-01,0.15512000,0.15512000,0.14496000,0.14905000
2019-02-02,0.14885000,0.14885000,0.14250000,0.14250000
2019-02-03,0.14332000,0.16401000,0.14043000,0.15071000
2019-02-04,0.14503000,0.15678000,0.13943000,0.14073000
2019-02-05,0.14147000,0.14147000,0.12100000,0.12319000
2019-02-06,0.12548000,0.12548000,0.11032000,0.11495000
2019-02-07,0.11200000,0.13017000,0.11200000,0.12387000
2019-02-08,0.12192000,0.13899000,0.10286000,0.12222000
2019-02-09,0.12312000,0.13085000,0.11922000,0.12760000
2019-02-10,0.12353000,0.12353000,0.11447000,0.11941000
2019-02-11,0.11486000,0.11530000,0.10985000,0.11169000
2019-02-12,0.10900000,0.13582000,0.10801000,0.12235000
2019-02-13,0.12063000,0.12781000,0.11852000,0.12370000
2019-02-14,0.12183000,0.12579000,0.12183000,0.12300000
2019-02-15,0.12101000,0.12168000,0.11323000,0.11365000
2019-02-16,0.11430000,0.11632000,0.11349000,0.11625000
2019-02-17,0.11708000,0.12108000,0.11585000,0.11866000
2019-02-18,0.11948000,0.13547000,0.11676000,0.11793000
2019-02-19,0.11793000,0.11916000,0.10346000,0.10750000
2019-02-20,0.10479000,0.11749000,0.09963000,0.11112000
2019-02-21,0.11169000,0.11996000,0.11096000,0.11178000
2019-02-22,0.11178000,0.11498000,0.10535000,0.11168000
2019-02-23,0.11371000,0.11638000,0.11113000,0.11426000
2019-02-24,0.11442000,0.11748000,0.10810000,0.10905000
